[2023-07-21 20:59:00,648]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 20:59:00,657]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 20:59:00,658]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 20:59:00,659]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 20:59:00,660]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 20:59:00,747]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 20:59:00,747]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 20:59:04,332]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 20:59:04,332]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 20:59:04,342]^;INFO^;80^;__init__.py^;__init__()^;table creation and data ingestion started
[2023-07-21 20:59:15,386]^;INFO^;82^;__init__.py^;__init__()^;table creation and data ingestion completed
[2023-07-21 20:59:15,386]^;INFO^;83^;__init__.py^;__init__()^;creating input csv started
