[2023-07-23 13:56:36,505]^;INFO^;5^;demo.py^;<module>()^;dbinsertion started
[2023-07-23 13:56:36,505]^;INFO^;116^;__init__.py^;__init__()^;inputfile to dataframe conversion started
[2023-07-23 13:56:36,725]^;INFO^;120^;__init__.py^;__init__()^;input file to dataframe conversion completed
[2023-07-23 13:56:36,725]^;INFO^;122^;__init__.py^;__init__()^;removing Wafer column started
[2023-07-23 13:56:36,732]^;INFO^;126^;__init__.py^;__init__()^;removing Wafer column completed
[2023-07-23 13:56:36,733]^;INFO^;128^;__init__.py^;__init__()^;sepearating dataframe into into input and output features
[2023-07-23 13:56:36,734]^;INFO^;132^;__init__.py^;__init__()^;sepearating input and output features completed
[2023-07-23 13:56:36,888]^;INFO^;137^;__init__.py^;__init__()^;na value filling started
[2023-07-23 13:56:48,040]^;INFO^;139^;__init__.py^;__init__()^;na value filling completed
[2023-07-23 13:56:48,041]^;INFO^;140^;__init__.py^;__init__()^;checking if any columns have zero std  
[2023-07-23 13:56:49,039]^;INFO^;142^;__init__.py^;__init__()^;checking std deviation is zero completed
[2023-07-23 13:56:49,039]^;INFO^;144^;__init__.py^;__init__()^;deleting columns with zero deviation
[2023-07-23 13:56:49,044]^;INFO^;146^;__init__.py^;__init__()^;deleting columns with zero deviation Completed
