[2023-07-23 15:25:52,288]^;INFO^;5^;demo.py^;<module>()^;dbinsertion started
[2023-07-23 15:25:52,288]^;INFO^;165^;__init__.py^;__init__()^;inputfile to dataframe conversion started
[2023-07-23 15:25:52,615]^;INFO^;169^;__init__.py^;__init__()^;input file to dataframe conversion completed
[2023-07-23 15:25:52,615]^;INFO^;171^;__init__.py^;__init__()^;removing Wafer column started
[2023-07-23 15:25:52,629]^;INFO^;175^;__init__.py^;__init__()^;removing Wafer column completed
[2023-07-23 15:25:52,629]^;INFO^;177^;__init__.py^;__init__()^;sepearating dataframe into into input and output features
[2023-07-23 15:25:52,630]^;INFO^;181^;__init__.py^;__init__()^;sepearating input and output features completed
[2023-07-23 15:25:52,769]^;INFO^;186^;__init__.py^;__init__()^;na value filling started
[2023-07-23 15:26:03,682]^;INFO^;188^;__init__.py^;__init__()^;na value filling completed
[2023-07-23 15:26:03,682]^;INFO^;189^;__init__.py^;__init__()^;checking if any columns have zero std  
[2023-07-23 15:26:04,504]^;INFO^;191^;__init__.py^;__init__()^;checking std deviation is zero completed
[2023-07-23 15:26:04,505]^;INFO^;193^;__init__.py^;__init__()^;deleting columns with zero deviation
[2023-07-23 15:26:04,508]^;INFO^;195^;__init__.py^;__init__()^;deleting columns with zero deviation Completed
[2023-07-23 15:26:04,508]^;INFO^;197^;__init__.py^;__init__()^;Intiating clustering
[2023-07-23 15:26:04,508]^;INFO^;198^;__init__.py^;__init__()^;Finding k values process started
[2023-07-23 15:26:10,339]^;INFO^;200^;__init__.py^;__init__()^;Finding K value process completed
[2023-07-23 15:26:10,339]^;INFO^;202^;__init__.py^;__init__()^;Creating clusters
[2023-07-23 15:26:10,633]^;INFO^;204^;__init__.py^;__init__()^;Creating clusters completed
