[2023-07-21 21:30:09,594]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 21:30:09,594]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 21:30:09,594]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 21:30:09,595]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 21:30:09,595]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 21:30:09,651]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 21:30:09,651]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 21:30:13,267]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 21:30:13,267]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 21:30:13,268]^;INFO^;79^;__init__.py^;__init__()^;table creation and data ingestion started
[2023-07-21 21:30:15,971]^;INFO^;82^;__init__.py^;__init__()^;table creation and data ingestion completed
[2023-07-21 21:30:15,971]^;INFO^;83^;__init__.py^;__init__()^;creating input csv started
[2023-07-21 21:30:18,657]^;INFO^;85^;__init__.py^;__init__()^;creating input csv completed
[2023-07-21 21:30:18,658]^;INFO^;86^;__init__.py^;__init__()^;db insertion and input file creation completed
