[2023-07-21 19:42:34,519]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 19:42:34,528]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 19:42:34,528]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 19:42:34,529]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 19:42:34,530]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 19:42:34,646]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 19:42:34,646]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 19:42:39,077]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 19:42:39,077]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 19:42:39,088]^;INFO^;67^;__init__.py^;__init__()^;table creation and data ingestion started
[2023-07-21 19:42:45,068]^;INFO^;69^;__init__.py^;__init__()^;table creation and data ingestion completed
[2023-07-21 19:42:45,068]^;INFO^;70^;__init__.py^;__init__()^;creating input csv started
