[2023-07-21 19:35:29,900]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 19:35:29,908]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 19:35:29,908]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 19:35:29,909]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 19:35:29,910]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 19:35:30,030]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 19:35:30,030]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 19:35:34,720]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 19:35:34,720]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 19:35:34,731]^;INFO^;66^;__init__.py^;__init__()^;table creation and data ingestion started
