[2023-07-21 21:06:01,376]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 21:06:01,376]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 21:06:01,377]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 21:06:01,377]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 21:06:01,377]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 21:06:01,430]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 21:06:01,431]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 21:06:04,887]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 21:06:04,888]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 21:06:04,888]^;INFO^;60^;__init__.py^;__init__()^;table creation and data ingestion started
[2023-07-21 21:06:06,662]^;INFO^;63^;__init__.py^;__init__()^;table creation and data ingestion completed
[2023-07-21 21:06:06,662]^;INFO^;64^;__init__.py^;__init__()^;creating input csv started
