[2023-08-05 16:54:41,662]^;INFO^;5^;demo.py^;<module>()^;dbinsertion started
[2023-08-05 16:54:41,663]^;INFO^;100^;__init__.py^;__init__()^;validaion started
[2023-08-05 16:54:41,663]^;INFO^;101^;__init__.py^;__init__()^;schema file reading started
[2023-08-05 16:54:41,664]^;INFO^;106^;__init__.py^;__init__()^;schema file reading completed
[2023-08-05 16:54:41,664]^;INFO^;117^;__init__.py^;__init__()^;file format checking started
[2023-08-05 16:54:41,734]^;INFO^;119^;__init__.py^;__init__()^;file format checking completed
[2023-08-05 16:54:41,734]^;INFO^;120^;__init__.py^;__init__()^;na value check started
[2023-08-05 16:54:45,884]^;INFO^;123^;__init__.py^;__init__()^;na value check completed
[2023-08-05 16:54:45,884]^;INFO^;124^;__init__.py^;__init__()^;validation completed successfully
[2023-08-05 16:54:45,884]^;INFO^;115^;__init__.py^;__init__()^;table creation and data ingestion started
[2023-08-05 16:54:48,756]^;INFO^;118^;__init__.py^;__init__()^;table creation and data ingestion completed
[2023-08-05 16:54:48,756]^;INFO^;119^;__init__.py^;__init__()^;creating input csv started
[2023-08-05 16:54:52,142]^;INFO^;121^;__init__.py^;__init__()^;creating input csv completed
[2023-08-05 16:54:52,142]^;INFO^;122^;__init__.py^;__init__()^;checking if any samples have output is null and removing it
[2023-08-05 16:54:53,691]^;INFO^;124^;__init__.py^;__init__()^;checking if any samples have output is null and removing it is completed
[2023-08-05 16:54:53,692]^;INFO^;125^;__init__.py^;__init__()^;db insertion and input file creation completed
[2023-08-05 16:54:53,692]^;INFO^;165^;__init__.py^;__init__()^;inputfile to dataframe conversion started
[2023-08-05 16:54:53,883]^;INFO^;169^;__init__.py^;__init__()^;input file to dataframe conversion completed
[2023-08-05 16:54:53,883]^;INFO^;171^;__init__.py^;__init__()^;removing Wafer column started
[2023-08-05 16:54:53,889]^;INFO^;175^;__init__.py^;__init__()^;removing Wafer column completed
[2023-08-05 16:54:53,889]^;INFO^;177^;__init__.py^;__init__()^;sepearating dataframe into into input and output features
[2023-08-05 16:54:53,893]^;INFO^;181^;__init__.py^;__init__()^;sepearating input and output features completed
