[2023-07-21 20:24:44,975]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 20:24:44,985]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 20:24:44,985]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 20:24:44,988]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 20:24:44,990]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 20:24:45,190]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 20:24:45,190]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 20:24:52,137]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 20:24:52,137]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 20:24:52,150]^;INFO^;74^;__init__.py^;__init__()^;table creation and data ingestion started
