[2023-07-21 19:06:27,531]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 19:06:27,545]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 19:06:27,545]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 19:06:27,563]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 19:06:27,564]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 19:06:27,671]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 19:06:27,671]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 19:06:31,391]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 19:06:31,391]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
