[2023-07-21 20:17:00,733]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 20:17:00,743]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 20:17:00,744]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 20:17:00,746]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 20:17:00,747]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 20:17:01,035]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 20:17:01,035]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 20:17:08,011]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 20:17:08,011]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 20:17:08,021]^;INFO^;73^;__init__.py^;__init__()^;table creation and data ingestion started
