[2023-07-21 19:49:17,741]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 19:49:17,750]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 19:49:17,750]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 19:49:17,751]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 19:49:17,753]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 19:49:17,880]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 19:49:17,880]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 19:49:22,495]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 19:49:22,495]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 19:49:22,508]^;INFO^;67^;__init__.py^;__init__()^;table creation and data ingestion started
[2023-07-21 19:49:28,068]^;INFO^;69^;__init__.py^;__init__()^;table creation and data ingestion completed
[2023-07-21 19:49:28,068]^;INFO^;70^;__init__.py^;__init__()^;creating input csv started
