[2023-07-21 20:03:33,786]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 20:03:33,794]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 20:03:33,794]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 20:03:33,795]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 20:03:33,796]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 20:03:33,894]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 20:03:33,894]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 20:03:40,527]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 20:03:40,527]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 20:03:40,540]^;INFO^;70^;__init__.py^;__init__()^;table creation and data ingestion started
[2023-07-21 20:03:45,518]^;INFO^;72^;__init__.py^;__init__()^;table creation and data ingestion completed
[2023-07-21 20:03:45,518]^;INFO^;73^;__init__.py^;__init__()^;creating input csv started
