[2023-07-21 19:55:22,055]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 19:55:22,064]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 19:55:22,064]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 19:55:22,065]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 19:55:22,066]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 19:55:22,164]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 19:55:22,164]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 19:55:26,249]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 19:55:26,249]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 19:55:26,258]^;INFO^;67^;__init__.py^;__init__()^;table creation and data ingestion started
[2023-07-21 19:55:30,946]^;INFO^;69^;__init__.py^;__init__()^;table creation and data ingestion completed
[2023-07-21 19:55:30,946]^;INFO^;70^;__init__.py^;__init__()^;creating input csv started
