[2023-07-21 21:10:19,339]^;INFO^;4^;demo.py^;<module>()^;dbinsertion started
[2023-07-21 21:10:19,340]^;INFO^;97^;__init__.py^;__init__()^;validaion started
[2023-07-21 21:10:19,340]^;INFO^;98^;__init__.py^;__init__()^;schema file reading started
[2023-07-21 21:10:19,340]^;INFO^;103^;__init__.py^;__init__()^;schema file reading completed
[2023-07-21 21:10:19,341]^;INFO^;114^;__init__.py^;__init__()^;file format checking started
[2023-07-21 21:10:19,397]^;INFO^;116^;__init__.py^;__init__()^;file format checking completed
[2023-07-21 21:10:19,397]^;INFO^;117^;__init__.py^;__init__()^;na value check started
[2023-07-21 21:10:23,017]^;INFO^;119^;__init__.py^;__init__()^;na value check completed
[2023-07-21 21:10:23,018]^;INFO^;120^;__init__.py^;__init__()^;validation completed successfully
[2023-07-21 21:10:23,018]^;INFO^;64^;__init__.py^;__init__()^;table creation and data ingestion started
[2023-07-21 21:10:24,843]^;INFO^;67^;__init__.py^;__init__()^;table creation and data ingestion completed
[2023-07-21 21:10:24,843]^;INFO^;68^;__init__.py^;__init__()^;creating input csv started
